Notes,Notatki
"You submitted your note.","Dodałeś notatkę."
"Something went wrong while saving the note.","Coś poszło nie tak."
"Please enter a note content.","Wprowadź treść notatki."
"Could not save the note: %1","Nie można zapisać notatki: %1"
"The note with the ""%1"" ID doesn't exist.","Notatka nr ""%1"" nie istnieje."
"Could not delete the note: %1","Nie mogę usunąć notatki: %1"
"Add note","Dodaj notatkę"
"Submit note","Dodaj notatkę"
"There are no notes.","Nie ma jeszcze żadnych notatek."
"Please use only letters, numbers or spaces only in this field.","Użyj tylko liter, cyfr i spacji."
"Customer first name","Imię użytkownika"
